timestamp,value_min,value_q05,value_q95,value_max,value_mean,value_median,value_std,value_skew,value_sum,value_last,value_count
2009-04-09 00:00:00,-29017.0,-24423.54521484375,33703.6396484375,37436.4,1110.4745,-3466.2900390625,19572.75491244887,0.37243378,1.4991406e+06,-17428.0,1350
2009-04-09 06:00:00,-28728.7,-26911.3353515625,31039.299609374997,36399.3,1123.377,3118.7100830078125,18780.86453043895,0.0036323352,1.5165589e+06,-11862.3,1350
2009-04-09 12:00:00,-35961.4,-31285.84921875,25601.690039062498,29662.7,1719.8307,7224.005126953125,19702.548317698,-0.46993595,2.3217715e+06,-8355.93,1350
2009-04-09 18:00:00,-35723.7,-30582.080078125,28245.544921875,31231.7,514.62726,-1196.0400390625,19605.669241539446,-0.04055808,694746.8,-11380.9,1350
2009-04-10 00:00:00,-28788.2,-24493.29560546875,33517.330273437496,37246.3,1025.9382,-3604.4599609375,19468.087389655513,0.37696648,1.3850166e+06,-15882.8,1350
2009-04-10 06:00:00,-28791.1,-26570.6404296875,31224.694921874998,36185.4,1083.0321,3132.0850830078125,18702.653952383967,0.019953223,1.4620934e+06,-6834.51,1350
2009-04-10 12:00:00,-35964.4,-31329.68974609375,25651.8900390625,29659.7,1643.11,7088.794921875,19719.016797461325,-0.46356207,2.2181985e+06,-4270.08,1350
2009-04-10 18:00:00,-35679.1,-30531.119921875,28297.694921874998,31291.1,569.5164,-1193.0650024414062,19598.48503156358,-0.03936883,768847.1,-13309.5,1350
2009-04-11 00:00:00,-28764.4,-24492.374609375,33580.330859375,37231.4,1038.055,-3561.375,19454.471597354597,0.3771449,1.4013744e+06,-14189.0,1350
2009-04-11 06:00:00,-28811.9,-26548.4896484375,31199.3,36120.0,1023.3922,3188.544921875,18739.671580392063,0.02460374,1.3815795e+06,-1539.25,1350
2009-04-11 12:00:00,-35994.1,-31380.95078125,25696.14482421875,29633.0,1617.2457,6971.419921875,19725.997865294317,-0.4619444,2.1832818e+06,-522.989,1350
2009-04-11 18:00:00,-35634.6,-30486.21943359375,28329.04521484375,31347.6,635.3845,-1246.5550537109375,19564.70064766973,-0.043359112,857769.1,-14587.2,1350
2009-04-12 00:00:00,-28743.6,-24426.730078125,33613.894140625,37249.2,1042.6569,-3580.6900634765625,19457.973926504535,0.37872866,1.4075868e+06,-11737.5,1350
2009-04-12 06:00:00,-28823.8,-26663.8,31160.700390625,36126.0,926.67725,3200.4300537109375,18778.743461794704,0.029897891,1.2510142e+06,3732.35,1350
2009-04-12 12:00:00,-36023.8,-31398.79443359375,25720.24560546875,29606.2,1639.5085,7057.590087890625,19736.273171669738,-0.46354565,2.2133365e+06,2861.67,1350
2009-04-12 18:00:00,-35607.8,-30484.7404296875,28354.09443359375,31383.3,713.8555,-927.1160278320312,19527.682701943984,-0.05136954,963705.0,-14394.1,1350
2009-04-13 00:00:00,-28713.9,-24394.02978515625,33691.764843749996,37314.6,1035.348,-3446.969970703125,19486.208987975762,0.38113666,1.3977199e+06,-9318.71,1350
2009-04-13 06:00:00,-28823.8,-26733.6345703125,31039.759570312497,36134.9,834.40045,2812.635009765625,18818.052088438395,0.03816671,1.1264406e+06,8665.24,1350
2009-04-13 12:00:00,-36065.4,-31426.900390625,25731.544921875,29564.6,1683.6895,7225.489990234375,19742.17574142731,-0.46780264,2.2729808e+06,5937.29,1350
2009-04-13 18:00:00,-35595.9,-30482.969921875,28338.834570312498,31395.1,776.7432,-684.93701171875,19477.617718699705,-0.06182537,1.0486034e+06,-12961.8,1350
2009-04-14 00:00:00,-28707.9,-24319.54521484375,33767.08984375,37394.8,1036.856,-3390.5150146484375,19528.39284170671,0.38373986,1.3997555e+06,-6442.27,1350
2009-04-14 06:00:00,-28844.6,-26873.15,30975.549218749995,36134.9,720.73785,2472.385009765625,18851.82850308068,0.044493362,972996.1,12225.2,1350
2009-04-14 12:00:00,-36080.3,-31424.7904296875,25740.19921875,29526.0,1729.6213,7482.534912109375,19766.924338771132,-0.46983048,2.3349888e+06,9001.03,1350
2009-04-14 18:00:00,-35557.3,-30522.19482421875,28281.44560546875,31353.5,802.07184,-494.75950622558594,19421.328192477013,-0.07300506,1.082797e+06,-9672.32,1350
2009-04-15 00:00:00,-28725.8,-24225.51943359375,33930.7904296875,37498.8,1053.0021,-3316.2249755859375,19578.999275059323,0.38763562,1.4215529e+06,-4076.94,1350
2009-04-15 06:00:00,-28877.3,-26976.14482421875,30954.319433593748,36161.6,620.757,2124.7049560546875,18859.93238785345,0.05254606,838022.0,14614.4,1350
2009-04-15 12:00:00,-36121.9,-31510.34482421875,25759.780078124997,29537.9,1709.7333,7439.445068359375,19780.607284188638,-0.47261217,2.30814e+06,12460.0,1350
2009-04-15 18:00:00,-35581.1,-30447.18974609375,28344.18974609375,31430.8,972.0659,-139.6619987487793,19466.61750154287,-0.08480215,1.312289e+06,-4769.3,1350
2009-04-16 00:00:00,-28669.3,-24250.94443359375,33815.995703125,37388.9,986.57733,-3659.4349365234375,19555.265088125045,0.39001215,1.3318794e+06,-1973.09,1350
2009-04-16 06:00:00,-28907.0,-26911.175390625,30891.59521484375,36054.6,552.9471,1791.8900146484375,18818.214027027752,0.062023435,746478.56,15559.4,1350
2009-04-16 12:00:00,-36104.1,-31573.04521484375,25804.03486328125,29481.4,1732.4485,7362.18505859375,19772.963504736927,-0.47521564,2.3388055e+06,15491.0,1350
